ID,predicted_answer,valid_answers,achieved_score,max_score,is_correct,semi_correct
Th-en-27,agriculture,"{'tech': 3, 'retail': 1, 'agriculture': 1, 'steel': 1, 'automobiles': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
New-am-74,rock & roast,"{'rock & roast': 4, 'the jinxing show': 2, 'roast!': 1, 'day day up': 1, 'idk': 2, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Tmp-ar-04,play,"{'watch tv': 2, 'play': 2, 'after school clubs': 1, 'after school sports clubs': 1, 'play outside': 1, 'have a snack': 1, 'go home': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Na-ko-22,france,"{'spain': 2, 'france': 2, 'germany': 1, 'america': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
New-ch-45,tech,"{'clothes': 1, 'food': 1, 'digital marketing': 1, 'medicine': 1, 'buisness': 1, 'economics': 1, 'sales': 1, 'tech': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,1,True,True
Jo-sp-09,golf,"{'golf': 3, 'polo': 1, 'formula one': 1, 'American Football': 1, 'tennis': 1, 'skiing': 1, 'lacrosse': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Ji-ko-03,isfahan,"{'tehran': 3, 'isfahan': 2, 'south': 1, 'karaj': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,3,False,True
Al-en-39,cake,"{'cake': 4, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",4,4,True,True
New-su-83,cake,"{'cake': 3, 'wedding breakfast': 1, 'buffet': 1, 'beef': 1, 'chicken': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",3,3,True,True
New-gr-82,folk song,"{'folk song': 2, 'pop song': 2, ""phoenix legend's song"": 1, 'square dance song': 1, 'soothing and relaxing classical music': 1, 'chinese opera': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
New-ch-64,5,"{'15': 1, '25': 1, '30': 1, '5': 1, '7': 1, 'idk': 2, 'no-answer': 1, 'not-applicable': 0}",1,2,False,True
Ji-ko-41,sneakers,"{'sneakers': 4, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",4,4,True,True
Ni-en-06,5,"{'5': 4, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Al-en-19,english,"{'english': 5, 'french': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
New-en-49,li ka-shing,"{'li ka-shing': 2, 'stanley ho hung-sun': 1, 'aisin gioro': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
Na-ko-16,lionel messi,"{'lionel messi': 2, 'christian pulisic': 1, 'landon donovan': 1, 'cristiano ronaldo': 1, 'idk': 2, 'not-applicable': 1, 'no-answer': 0}",2,2,True,True
Ca-sp-08,salt,"{'salt': 3, 'potato': 2, 'meat': 1, 'sugar': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Ni-en-40,jingle bell,"{'all i want for christmas is you': 3, 'deck the halls': 1, 'jingle bell': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
New-am-53,southern,"{'Eastern Coast': 1, 'southern': 1, 'NY': 1, 'california': 1, 'Pacific NW': 1, 'NW': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,1,True,True
Th-en-51,english,"{'english': 2, 'Science Technology Engineering and Mathematics': 1, 'mathematics': 1, 'literature': 1, 'science': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Ne-ar-44,biscuit,"{'doughnut': 5, 'cream': 1, 'sugar': 1, 'sandwich': 1, 'muffin': 1, 'breakfast': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",0,5,False,False
New-en-23,idk,"{'idk': 6, 'no-answer': 0, 'not-applicable': 0}",6,6,True,True
New-en-72,google drive,"{'wikipedia': 2, 'ChatGPT': 1, 'cliffnotes': 1, 'google drive': 1, 'idk': 2, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
Ji-ko-07,Microsoft,"{'Google': 2, 'Apple': 2, 'Microsoft': 1, 'Amazon': 1, 'IBM': 1, 'idk': 3, 'no-answer': 1, 'not-applicable': 0}",1,3,False,True
Jod-ch-37,idk,"{'tennis': 3, 'American Football': 2, 'baseball': 2, 'basketball': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
Ne-ar-18,17:00,"{'17:00': 5, '15:00': 1, '18:00': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Ji-ko-36,english language,"{'maths': 5, 'physics': 2, 'biology': 1, 'experimental': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",0,5,False,False
Na-ko-43,pay a new year's visit,"{""pay a new year's visit"": 2, 'slaughter poultry': 1, 'grave sweeping': 1, 'set off firecrackers': 1, 'burn incense': 1, 'send red envelope': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
New-gr-58,care workers,"{'care workers': 2, 'nurses': 2, 'cleaner': 1, 'teachers': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Ki-pe-30,saturday,"{'saturday': 5, 'sunday': 5, 'public hoilday': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Kik-in-15,gown,"{'graduation cap': 3, 'gown': 2, 'robe': 1, 'dresses': 1, 'not-applicable': 1, 'no-answer': 1, 'idk': 0}",2,3,False,True
New-en-12,stinky tofu,"{'shengjian': 1, 'noodles': 1, 'roasted sausage': 1, 'stinky tofu': 1, 'grilled squid': 1, 'barbecue': 1, 'braised chicken with rice': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,1,True,True
New-ko-01,idk,"{'peppa pig': 3, 'paw patrol': 1, 'bluey': 1, 'amazing world of gumball': 1, 'no-answer': 1, 'idk': 1, 'not-applicable': 0}",1,3,False,True
Ji-ko-41,black shoes,"{'black shoes': 3, 'trainers': 1, 'formal': 1, 'ballet flats': 1, 'black leather': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Gu-ch-11,athletics,"{'athletics': 2, 'cycling': 2, 'relay': 1, 'rowing': 1, 'idk': 2, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Ta-pe-37,idk,"{'fireworks': 2, 'big ben': 2, 'auld lang syne': 2, 'champagne': 1, 'mistletoe': 1, 'clocks': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
Kik-in-37,man utd vs man city,"{'celtic vs rangers': 2, 'liverpool vs everton': 2, 'tottenham vs arsenal': 2, 'newcastle vs sunderland': 1, 'man utd vs man city': 1, 'liverpool vs manchester united': 1, 'idk': 2, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-ch-23,idk,"{'jim butler': 1, 'idk': 6, 'no-answer': 0, 'not-applicable': 0}",6,6,True,True
New-as-29,soccer,"{'soccer': 5, 'ping pong': 3, 'basketball': 3, 'badminton': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Ne-ar-18,17:00,"{'17:00': 5, '15:00': 1, '18:00': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
New-su-10,idk,"{'chicken soup': 1, 'crucian carp soup': 1, 'dates': 1, 'nutritionally balanced food': 1, 'nutrient-rich food': 1, 'egg': 1, 'no-answer': 2, 'idk': 2, 'not-applicable': 0}",2,2,True,True
Ne-ar-24,shenzhen,"{'shanghai': 5, 'beijing': 2, 'guangzhou': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",0,5,False,False
Ki-pe-32,rice and stew,"{'kebab and stew': 1, 'rice and stew': 1, 'chicken': 1, 'kebab': 1, 'stew dishes': 1, 'barberry rice with chicken': 1, 'ghormeh sabzi': 1, 'fesenjan': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,1,True,True
Al-en-01,pretzels,"{'fruit': 2, 'sandwiches': 1, 'vegetables': 1, 'PB&J': 1, 'pretzels': 1, 'Fruit Rollup': 1, 'Goldfish crackers': 1, 'Cheez-Its': 1, 'cheddar puffs': 1, 'animal crackers': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-ch-09,stew,"{'stew': 2, 'hot sausage roll': 1, 'roast dinner': 1, 'soup': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Na-ko-28,idk,"{'Michael David Edwards': 1, 'david beckham': 1, 'eve muirhead': 1, 'idk': 3, 'not-applicable': 1, 'no-answer': 1}",3,3,True,True
Gu-ch-09,idk,"{'soccer': 3, 'netball': 3, 'tennis': 1, 'hockey': 1, 'cricket': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
New-az-69,vodka,"{'whiskey': 2, 'vodka': 2, 'raisin vodka': 1, 'wine': 1, 'not-applicable': 2, 'idk': 1, 'no-answer': 0}",2,2,True,True
Sa-en-22,university of alabama,"{'university of alabama': 2, 'notre dame university': 2, 'harvard': 1, 'FU': 1, 'michigan state university': 1, 'university of south carolina': 1, 'university of texas at austin': 1, 'idk': 2, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
New-en-41,lei jun,"{'jack ma': 4, 'pony ma': 2, 'ren zhengfei': 1, 'liu qiangdong': 1, 'lei jun': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,4,False,True
Jod-ch-51,car,"{'car': 4, 'bus': 3, 'train': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
An-ar-43,sports bar,"{'sports bar': 4, 'house': 2, 'stadium': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
New-ha-07,roast dinner,"{'fish & chips': 2, 'apple pie': 1, 'kitkat': 1, 'potatoes': 1, 'roast dinner': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-pe-85,maldives,"{'america': 2, 'japan': 2, 'maldives': 2, 'australia': 1, 'turkey': 1, 'southeast asia': 1, 'singapore': 1, 'malaysia': 1, 'thailand': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Ta-pe-17,volleyball,"{'volleyball': 3, 'wrestling': 2, 'weightlifting': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Gu-ch-16,3,"{'3': 5, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Th-en-03,premier football league,"{'national football league': 5, 'mlb': 1, 'nba': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",0,5,False,False
Nu-in-04,2,"{'2': 5, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Jod-ch-01,spoon,"{'fork': 5, 'spoon': 4, 'knife': 4, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,5,False,True
New-ch-45,e-commerce,"{'internet': 3, 'technology': 1, 'self-media': 1, 'restaurant': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",0,3,False,False
New-as-76,monopoly,"{'monopoly': 4, 'charades': 2, 'chess': 1, 'beach cricket': 1, 'soccer': 1, 'card games': 1, 'scrabble': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
New-gr-15,tangyuan,"{'mooncake': 1, 'osmanthus cake': 1, 'daoxiangcun': 1, 'red bean bun': 1, 'shaved ice': 1, 'tangyuan': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",1,1,True,True
Ji-ko-22,clothes,"{'clothes': 2, 'gift': 1, 'treat friends/family to a meal': 1, 'shopping': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Th-en-11,yao ming,"{'yao ming': 3, 'yingsha sun': 1, 'ma long': 1, 'su yiming': 1, 'xiang liu': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
New-en-19,wembley,"{'wembley': 4, 'white hart lane': 1, 'Wimbledon stadium': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Ni-en-19,5,"{'5': 4, '6': 1, '7': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
New-spme-76,azadi street,"{'azadi street': 1, 'not-applicable': 4, 'idk': 1, 'no-answer': 0}",1,4,False,True
New-en-76,beijing daxing,"{'beijing capital airport': 2, 'shanghai pudong': 2, 'beijing daxing': 1, 'hongqiao airport': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-en-11,broccoli,"{'sprouts': 4, 'cabbage': 2, 'broccoli': 1, 'okra': 1, 'beetroot': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,4,False,True
Ni-en-11,2,"{'2': 2, '1': 2, '6': 1, 'idk': 3, 'no-answer': 0, 'not-applicable': 0}",2,3,False,True
Kik-in-45,track,"{'football pitch': 4, 'track': 1, 'cricket pitch': 1, 'tennis court': 1, 'basketball court': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,4,False,True
New-pe-02,rock candy,"{'rock candy': 4, 'fish & chips': 1, 'pasty': 1, 'fudge': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Ji-ko-19,roses,"{'roses': 3, 'lillies': 1, 'not-applicable': 1, 'idk': 1, 'no-answer': 0}",3,3,True,True
Th-en-21,healthcare,"{'vacation': 3, 'healthcare': 3, 'benefits': 1, '401(k)': 1, 'financial stability': 1, 'sick days off': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Na-ko-30,idk,"{'fortnite': 1, 'FIFA': 1, 'idk': 2, 'no-answer': 1, 'not-applicable': 0}",2,2,True,True
New-ko-03,little donkey,"{'little tiger': 1, 'find friends': 1, 'twinkle twinkle little star': 1, 'birthday song': 1, 'little donkey': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",1,1,True,True
Jod-ch-56,65,"{'65': 5, '62': 1, '63': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
New-en-49,bush,"{'trump': 3, 'bush': 1, 'kardashian': 1, 'Kennedy': 1, 'kardashians': 1, 'Obama': 1, 'not-applicable': 1, 'idk': 0, 'no-answer': 0}",1,3,False,True
Ne-ar-05,lunar new year,"{'lunar new year': 5, 'national day': 2, 'mid-autumn festival': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Sa-en-32,idk,"{'dorehami': 2, 'art contest': 1, 'comedy shows': 1, 'khandevaneh': 1, 'idk': 2, 'no-answer': 1, 'not-applicable': 0}",2,2,True,True
New-su-81,suit,"{'suit': 4, 'tang suit': 1, 'chinese-style dress': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",4,4,True,True
New-gr-47,15,"{'30': 4, '15': 2, '10': 1, '20': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,4,False,True
New-su-82,formal wedding dress,"{'formal wedding dress': 3, 'white dresses': 1, 'dress': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
Ji-ko-29,18,"{'21st': 5, '16': 2, '18': 2, '15th': 1, '1': 1, '13th': 1, '30th': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",2,5,False,True
New-ch-81,flowers,"{'plants': 3, 'candles': 1, 'flowers': 1, 'wine': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
Ta-pe-30,nfl,"{'match of the day': 5, 'grandstand': 1, 'soccer saturday': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",0,5,False,False
Ta-pe-21,school playground,"{'the park': 3, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",0,3,False,False
New-en-02,original flavor,"{'cucumber': 3, 'original flavor': 2, 'spicy and numbing': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,3,False,True
Na-ko-24,popcorn,"{'popcorn': 2, 'roasted sausage': 1, 'energy bar': 1, 'idk': 1, '没有去过体育馆观看比赛': 1, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
New-pe-49,church,"{'church': 5, 'mosque': 2, 'temple': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
New-ch-83,chicago,"{'las vegas': 2, 'cochella valley': 1, 'palm desert': 1, 'miami': 1, 'honolulu': 1, 'SF': 1, 'chicago': 1, 'la': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
Jod-ch-04,coke,"{'coke': 5, 'lemonade': 1, 'squash': 1, 'pepsi': 1, 'iron bru': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Jod-ch-09,18:00,"{'18:00': 4, '19:00': 1, '18:30': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
Jod-ch-62,electrician,"{'lawyer': 1, 'engineering': 1, 'information technology': 1, 'electrician': 1, 'construction': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,1,True,True
Th-en-53,idk,"{'recreational camps': 2, 'sport': 1, 'religious ceremonies': 1, 'idk': 2, 'no-answer': 1, 'not-applicable': 0}",2,2,True,True
New-gr-24,sprint,"{'sprint': 2, 'long distance running': 1, 'dash': 1, 'sprinting': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
New-in-34,aberdeen,"{'scotland': 4, 'north east': 1, 'aberdeen': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,4,False,True
Jod-ch-46,1.5,"{'1.5': 2, '1': 1, '2': 1, '3': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
Na-ko-33,black eyed peas,"{'black eyed peas': 2, 'grapes': 1, 'not-applicable': 2, 'idk': 0, 'no-answer': 0}",2,2,True,True
New-en-19,wrigley field,"{'Yankees stadium': 2, 'MSG': 1, 'NY': 1, 'Mercedes-Benz Stadium': 1, 'wrigley field': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
Na-ko-29,نمیدانم,"{'idk': 5, 'no-answer': 2, 'نمیدانم': 1, 'not-applicable': 0}",1,5,False,True
Ne-ar-36,roast chicken,"{'turkey and the trimmings': 2, 'roast meat': 1, 'roast beef': 1, 'turkey': 1, 'roast chicken': 1, 'roast lamb': 1, 'burn supper': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
Th-en-48,150,"{'100': 2, '150': 2, '120': 1, '750': 1, 'idk': 1, 'no-answer': 0, 'not-applicable': 0}",2,2,True,True
Kik-in-04,idk,"{'white mourning banner': 2, 'white lantern': 1, 'memorial hall': 1, 'idk': 5, 'no-answer': 0, 'not-applicable': 0}",5,5,True,True
Th-en-09,premier football league,"{'premier football league': 2, 'football': 1, 'volleyball': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",2,2,True,True
New-gr-29,nba,"{'olympic games': 2, 'china open': 1, 'world cup': 1, 'nba': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,2,False,True
New-ch-82,18:00,"{'19:00': 4, '18:00': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,4,False,True
Ji-ko-31,library,"{'home': 4, 'library': 2, 'school': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",2,4,False,True
Na-ko-30,dota,"{'honor of kings': 3, 'league of legends': 2, 'dota': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",1,3,False,True
New-spme-27,high school,"{'high school': 4, 'associates': 1, 'college': 1, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",4,4,True,True
New-en-38,idk,"{'freelance job': 2, 'self employment': 1, 'no-answer': 2, 'idk': 1, 'not-applicable': 0}",1,2,False,True
Ne-ar-38,canned soup,"{'canned soup': 3, 'canned foods': 2, 'idk': 0, 'no-answer': 0, 'not-applicable': 0}",3,3,True,True
New-ch-78,idk,"{'knitting': 3, 'evening with friends': 1, 'crafts': 1, 'shop': 1, 'swim': 1, 'book club': 1, 'walking': 1, 'exercising': 1, 'bocce ball': 1, 'water aerobics': 1, 'sewing': 1, 'no-answer': 1, 'idk': 0, 'not-applicable': 0}",0,3,False,False
